"anio","cantidad_victimas_masc","cantidad_victimas_fem","cantidad_victimas","porcentaje_masc","porcentaje_fem","tasa_por_100k","poblacion_total"
2014,163,34,200,81.5,17,6.55903508723025,3049229
2015,134,31,165,81.2121212121212,18.7878787878788,5.40227818982427,3054267
2016,130,16,146,89.041095890411,10.958904109589,4.77261122635841,3059122
2017,112,31,143,78.3216783216783,21.6783216783217,4.66751617637075,3063728
2018,117,20,137,85.4014598540146,14.5985401459854,4.46538721914914,3068043
2019,84,18,102,82.3529411764706,17.6470588235294,3.32028115620002,3072029
2020,111,14,125,88.8,11.2,4.06418684074825,3075646
2021,83,20,103,80.5825242718447,19.4174757281553,3.34542015229132,3078836
2022,76,13,89,85.3932584269663,14.6067415730337,2.88815693401048,3081550
